Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
0511/039,2265 LOMBARD ST,2265 LOMBARD ST,94123,"2265 LOMBARD ST
San Francisco, CA 94123
(37.799423, -122.439012)",16826,Hotel,http://propertymap.sfplanning.org/?&search=0511/039,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,31.3,98.4,-42.6,-42.6,30.1,2.6,35.8,112.4,94,30.8,96.7,-44.7,-44.7,29.6,2.5,31.8,99.9
3583/068,527 CASTRO ST,527 CASTRO ST,94114,"527 CASTRO ST
San Francisco, CA 94114
(37.760269, -122.434935)",10020,,http://propertymap.sfplanning.org/?&search=3583/068,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030/008,Cost Plus Plaza,2552 TAYLOR ST,94133,"2552 TAYLOR ST
San Francisco, CA 94133
(37.805634, -122.415311)",111082,,http://propertymap.sfplanning.org/?&search=0030/008,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,73,52.9,163.8,-24.3,,346.47,,52.7,163.7,,49.5,153.2,24.4,24.5,325.3,4.3,49.4,152.9,,45.8,139.6,13.4,13.4,277.2,3.7,45.8,139.6,,,,,,,,,
0141/013,LPF 101 Vallejo,101 VALLEJO ST,94111,"101 VALLEJO ST
San Francisco, CA 94111
(37.799646, -122.400359)",15823,Office,http://propertymap.sfplanning.org/?&search=0141/013,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,94,28.2,71.7,-52.3,-52.3,34.7,2.2,28.4,72,97,27.2,74.6,-60.1,-60.1,32.8,2.1,29.7,77.2,99,19.4,50,-70,-70,22.7,1.4,20,50.6
4356/001,3101 3rd Street,3101 3RD ST,94124,"3101 3RD ST
San Francisco, CA 94124
(37.749635, -122.387438)",66000,Office,http://propertymap.sfplanning.org/?&search=4356/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,100,3.9,,-90.1,,21.88,,3.8,,100,3.8,11.7,-90,,21.66,,3.8,11.8,100,1.7,5.5,-95.2,-95,10.1,0.2,1.7,5.5,100,6.1,17.5,-84.2,-84.2,31.4,0.5,6.1,17.5,100,7.1,21,-81,-81,37,0.6,7.3,21.3
3956/008,300 De Haro Center,300 DE HARO ST,94103,"300 DE HARO ST
San Francisco, CA 94103
(37.765637, -122.401678)",16952,Other,http://propertymap.sfplanning.org/?&search=3956/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Res Units,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,124.4,244.2,98.4,98.4,144,8.5,124.4,244.2,,110.1,205,66.5,66.5,119.8,7.1,110.1,205,,384.7,508.3,,,370.4,21.9,384.7,508.3
3703/058,1035 Market St,1035 MARKET ST,94103,"1035 MARKET ST
San Francisco, CA 94103
(37.781595, -122.411106)",95832,Office,http://propertymap.sfplanning.org/?&search=3703/058,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,90,28.5,86.6,-45.5,-45.5,220.6,2.3,28.5,86.5,89,28.9,88,-44.5,-44.5,223.6,2.3,28.6,87.7,89,27.3,85.3,-43.8,-43.8,213.1,2.2,27.3,85.3,91,26.3,80.4,-47.7,-47.7,204.1,2.1,26.2,79.8
3571/001,Jeff Smith - 2000 Folsom,2000 FOLSOM ST,94110,"2000 FOLSOM ST
San Francisco, CA 94110
(37.765049, -122.415279)",94349,,http://propertymap.sfplanning.org/?&search=3571/001,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,24.6,,-50.6,,180.89,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0491/028,Cow Hollow Motor Inn,2190 LOMBARD ST,94123,"2190 LOMBARD ST
San Francisco, CA 94123
(37.79972, -122.437425)",42120,Hotel,http://propertymap.sfplanning.org/?&search=0491/028,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,43,81.7,155.9,6.2,6.2,222.9,5.3,81.7,155.9,46,78.3,148.9,3,3,213.4,5.1,78.3,148.9,53,71.7,135.2,-3.2,-3.2,194.7,4.6,71.7,135.2,46,80,146.9,3,3,215.1,5.1,79.4,145.1
0682/006,Baptist Church - 2135 Sutter St,2135 SUTTER ST,94115,"2135 SUTTER ST
San Francisco, CA 94115
(37.785804, -122.435572)",56455,Worship Facility,http://propertymap.sfplanning.org/?&search=0682/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,90,16.1,,-47.6,,66.55,,16.2,69728,100,3.1,9.6,-76,,18.8,,3.1,9.6,100,3.3,10.3,-81.6,-81.6,15.2,0.3,3.3,10.3,98,10.5,18,-63.7,-63.7,36.9,0.7,10.5,18,98,9.4,17.2,-66.5,-66.5,33.9,0.6,10.1,17.9
5241/018,500 MENDELL ST,500 MENDELL ST,94124,"500 MENDELL ST
San Francisco, CA 94124
(37.739862, -122.385632)",16200,,http://propertymap.sfplanning.org/?&search=5241/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202/002J,616 DIVISADERO ST,616 DIVISADERO ST,94117,"616 DIVISADERO ST
San Francisco, CA 94117
(37.775243, -122.43781)",30108,,http://propertymap.sfplanning.org/?&search=1202/002J,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2017,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786/018,83 BLUXOME ST,83 BLUXOME ST,94107,"83 BLUXOME ST
San Francisco, CA 94107
(37.776357, -122.397495)",27646,,http://propertymap.sfplanning.org/?&search=3786/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Demolished,Exempt,Exempt - Demolished,Exempt,Exempt - Demolished,Exempt,Exempt - New Construction,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0271/015,Worldmark at San Francisco,586 BUSH ST,94108,"586 BUSH ST
San Francisco, CA 94108
(37.79041, -122.406898)",56954,Hotel,http://propertymap.sfplanning.org/?&search=0271/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,46,84.4,,3,,191.16,,83.8,,83,42.6,87.3,-30.8,,168.91,,42.6,87.3,84,40.1,80.5,-31,-31,157.6,2.8,40.1,80.5,79,40,81.4,-26.5,-26.5,151.5,2.7,40,81.4,84,37.2,78,-31.9,-31.9,142.7,2.5,37.2,78
3732/029,984 FOLSOM ST,984 FOLSOM ST,94103,"984 FOLSOM ST
San Francisco, CA 94103
(37.778736, -122.405336)",22240,,http://propertymap.sfplanning.org/?&search=3732/029,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705/050,San Francisco Center,845 Market Street,94103,"845 Market Street
San Francisco, CA 94103
(37.784972, -122.406844)",58877,Movie Theater,http://propertymap.sfplanning.org/?&search=3705/050,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3,327.8,285.2,285.2,503.2,8.5,104.1,323.9
3777/055,Hundley Hardware,617 BRYANT ST,94107,"617 BRYANT ST
San Francisco, CA 94107
(37.779257, -122.39847)",13000,Retail Store,http://propertymap.sfplanning.org/?&search=3777/055,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,28.5,56.8,-50.4,-50.4,24.5,1.9,28.9,57.2,,26.2,56.1,-51,-51,23.2,1.8,30.3,59.7,,23.7,53.8,-53,-53,21.5,1.7,24.7,54.4
0294/013,Taj Campton Place Hotel,340 STOCKTON ST,94108,"340 STOCKTON ST
San Francisco, CA 94108
(37.789079, -122.406903)",94000,Hotel,http://propertymap.sfplanning.org/?&search=0294/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,14,162.9,,43.2,,1251.13,,162.6,,17,157.7,316.1,38.1,,1261.6,,156,314.1,17,156.2,310.6,37.3,37.3,1250,13.3,156.4,310.9,19,150,297.3,35,35,1007,10.7,150,297.3,24,143.5,285.7,27.5,27.5,965.2,10.3,143.5,285.7
8721/032,ARE 455 Mission Bay,455 Mission Bay Blvd South,94158,"455 Mission Bay Blvd South
San Francisco, CA 94158
(37.770721, -122.388535)",219588,Laboratory,http://propertymap.sfplanning.org/?&search=8721/032,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,205.9,,157.3,,3149.85,,210.4,,,225.3,458.3,231.3,,3433.94,,224.7,460.6,,231.4,463.3,276.3,276.4,3503.1,16,229.6,465,,224.9,469.9,281.6,281.6,3320.8,15.1,228.2,464.5,,203.4,448.7,264.4,264.4,3074.1,14,203.2,448.2
5216/028,CitiScape - 1501-1599 Custer Avenue,1501 CUSTER AVE,94124,"1501 CUSTER AVE
San Francisco, CA 94124
(37.745321, -122.389207)",92530,,http://propertymap.sfplanning.org/?&search=5216/028,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,47,33.8,70.7,3.8,3.8,210.5,2.3,33.5,70.4,39,34.8,73.6,17.2,17.2,217.8,2.4,35.6,74.4,,,,,,,,,
3763/001,400 2ND ST,400 2ND ST,94107,"400 2ND ST
San Francisco, CA 94107
(37.784179, -122.395004)",64432,,http://propertymap.sfplanning.org/?&search=3763/001,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,67,,9.1,,344.92,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526/013,Byer California - 1000 Brannan St.,1000 BRANNAN ST,94103,"1000 BRANNAN ST
San Francisco, CA 94103
(37.769819, -122.407293)",108000,Office,http://propertymap.sfplanning.org/?&search=3526/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,94,40.5,,-52.8,,323.68,,40.5,,96,32.6,84.9,-57,,277.23,,33.3,89.3,95,33.3,85.1,-53.6,-53.6,264.7,2.5,31.7,83.4,88,39.6,97.2,-42.1,-42.1,308.8,2.9,39.6,97.2,75,45.5,125.1,-26.4,-26.4,374.6,3.5,45.5,125.1
3715/003,Jewish Community Federation,121 STEUART ST,94105,"121 STEUART ST
San Francisco, CA 94105
(37.792888, -122.392751)",44748,Office,http://propertymap.sfplanning.org/?&search=3715/003,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,84,49.8,166.3,-30.7,,202.44,,49.8,166.3,,,,,,,,,,,42,131.8,-11,-11,153.1,3.4,42,131.8,58,45.1,141.5,-9.1,-9.1,164.5,3.7,45.1,141.5
3553/014,Redstone Building,2940 16TH ST,94103,"2940 16TH ST
San Francisco, CA 94103
(37.765132, -122.418221)",55500,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3553/014,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Pending,,21.6,,-64,,84.93,,21.2,,,24.4,47.6,-65.1,,92.16,,23,46.1,,17.3,35.5,-71.1,-71.1,64,1.2,14.1,32.2,,14.7,32.9,-73.3,-73.3,56.4,1,14.7,32.9,,15.1,30.8,,,55.9,1,16.4,32.1
0743/203,711 Van Ness,711 VAN NESS AVE,94102,"711 VAN NESS AVE
San Francisco, CA 94102
(37.781516, -122.420626)",141469,Office,http://propertymap.sfplanning.org/?&search=0743/203,Exempt,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,43,89.2,186.4,7.7,,590.35,,90,189.3,41,91.5,177.8,9.1,9.1,585.3,6.2,92.8,181.8,,90.8,178.7,20.7,20.7,565.6,6,92.6,176.5,60,92.1,182.4,,,575.3,6.1,92.6,180.9
0294/011,Niketown,278 POST ST,94108,"278 POST ST
San Francisco, CA 94108
(37.788531, -122.406505)",72234,Retail Store,http://propertymap.sfplanning.org/?&search=0294/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,10,112.8,,76.8,,668.2,,117.1,,15,94.5,268.8,61,,566.5,,96.1,273.6,16,107.3,259.4,58.4,58.4,555.9,7.7,107.3,259.4,15,85.8,254.1,61.7,61.7,490.3,6.8,85.8,254.1,95,20.9,63.1,-60.8,-60.8,120.6,1.7,20.9,63.1
3735/050,633 HOWARD ST,633 HOWARD ST,94105,"633 HOWARD ST
San Francisco, CA 94105
(37.786151, -122.39904)",10400,,http://propertymap.sfplanning.org/?&search=3735/050,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710/020,102557 333 Market Street,333 MARKET ST,94105,"333 MARKET ST
San Francisco, CA 94105
(37.792119, -122.397791)",754385,Office,http://propertymap.sfplanning.org/?&search=3710/020,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,100,23.5,,-92.9,,829.17,,23.5,,1,316.3,1056.4,690.9,,333.88,,316.3,1056.4,94,65.4,162.4,-47.6,-47.6,3707.5,5,65.7,162.7,95,63.3,158.3,-49.1,-49.1,3398.7,4.6,,,95,67.7,160.3,-48.9,-48.9,3543.2,4.8,,
3728/002,120 8TH ST,120 8TH ST,94103,"120 8TH ST
San Francisco, CA 94103
(37.777173, -122.412806)",12520,,http://propertymap.sfplanning.org/?&search=3728/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0719/002,901 Van Ness LLC,901 VAN NESS AVE,94109,"901 VAN NESS AVE
San Francisco, CA 94109
(37.784103, -122.421157)",93330,Automobile Dealership,http://propertymap.sfplanning.org/?&search=0719/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,10.4,,-92.5,,,,10.4,,,10.4,10.4,-80.3,,,,10.4,10.4,,27.2,53.4,-59,-59,107,1.1,27.6,54,,28.3,56.3,-56.7,-56.7,110.1,1.2,32,62.8,,26.3,50.3,-61.4,-61.4,99.3,1.1,27.2,51.2
3745/008,365 MAIN ST,365 MAIN ST,94105,"365 MAIN ST
San Francisco, CA 94105
(37.788442, -122.390676)",265981,,http://propertymap.sfplanning.org/?&search=3745/008,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Violation - Insufficient Data,,4/1/2015,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1037.3,3257.1,-94.2,-94.2,19197,84.6,1037.3,3257.1,,,,,,,,,
3704/024,481 JESSIE ST,481 JESSIE ST,94103,"481 JESSIE ST
San Francisco, CA 94103
(37.781687, -122.408891)",41500,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=3704/024,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,9.7,29.3,,,32.1,0.8,9.7,29.3,,10.7,32.6,,,35.6,0.9,10.7,32.6,,11.9,36.2,,,39.7,1,11.9,36.2,,8.5,25,,,27.8,0.7,8.5,25
3722/002,120 2ND ST,120 2ND ST,94105,"120 2ND ST
San Francisco, CA 94105
(37.787701, -122.399413)",16615,,http://propertymap.sfplanning.org/?&search=3722/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728/049,145 9TH ST,145 9TH ST,94103,"145 9TH ST
San Francisco, CA 94103
(37.775646, -122.413994)",21600,,http://propertymap.sfplanning.org/?&search=3728/049,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Insufficient Data,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,97,22.5,67.1,-58.3,-58.3,38.6,1.8,22.2,66.7,95,23.1,69.5,-54.8,-54.8,39.8,1.8,23.1,69.5,,,,,,,,,
0446/002,Safeway 1711,15 MARINA BLVD,94123,"15 MARINA BLVD
San Francisco, CA 94123
(37.805097, -122.43308)",80520,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=0446/002,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,38,248.7,,7.6,,809.17,,244.6,,34,257.4,656.1,10.5,10.5,766.6,18.9,253.4,651.9,38,253.1,633.2,7.7,7.7,747.3,18.4,253.6,633.7,29,265.7,654.8,14.8,14.8,778.9,19.2,264.1,649.9,29,273.2,668.1,14.5,14.5,798,19.7,273.9,665.6
0346/016,433 TURK ST,433 TURK ST,94102,"433 TURK ST
San Francisco, CA 94102
(37.782501, -122.416355)",10065,Office,http://propertymap.sfplanning.org/?&search=0346/016,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,57,92,180,,,60.6,6,92.5,181.8,54,84,179.2,-5.3,-5.3,57.3,5.7,91,183.5,57,82.8,176.1,-7.9,-7.9,56.5,5.6,87.1,179.4
3788/010,148 TOWNSEND ST,148 TOWNSEND ST,94107,"148 TOWNSEND ST
San Francisco, CA 94107
(37.779598, -122.391837)",20000,,http://propertymap.sfplanning.org/?&search=3788/010,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501/006,1939 MARKET ST,1939 MARKET ST,94103,"1939 MARKET ST
San Francisco, CA 94103
(37.770151, -122.425485)",17076,Office,http://propertymap.sfplanning.org/?&search=3501/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,5.9,14.5,-85.6,-85.6,5.1,0.4,5.9,14.5,,18.6,51.5,-48.7,-48.7,17.1,1.4,18.6,51.5,98,20.2,55.2,,,18.9,1.5,20.8,55.8
0310/001,101 POST ST,101 POST ST,94108,"101 POST ST
San Francisco, CA 94108
(37.788865, -122.403893)",17090,Financial Office,http://propertymap.sfplanning.org/?&search=0310/001,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,82.6,258.5,74.6,74.6,115,6.7,82.6,258.5,,92.8,290.6,96.3,96.3,129.2,7.6,89.8,281,18,130.5,330.5,,,171.3,10,128.9,325.5
5254/020,1555 Galvez Ave,1555 GALVEZ AVE,94124,"1555 GALVEZ AVE
San Francisco, CA 94124
(37.74039, -122.387213)",16538,,http://propertymap.sfplanning.org/?&search=5254/020,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,15.1,45,,,19.8,1.2,15.1,45,,,,,,,,,,,,,,,,,,
6950/004,Community Assembly of God,355 OCEAN AVE,94112,"355 OCEAN AVE
San Francisco, CA 94112
(37.723008, -122.443872)",26554,Worship Facility,http://propertymap.sfplanning.org/?&search=6950/004,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,86,17.3,37.9,-40.9,,33.1,,17,37.6,95,14.1,26.2,-56.5,-56.6,24.9,0.9,13.3,25.4,96,11.1,22.2,-58.5,-58.5,19.5,0.7,13.1,24.5,98,10.9,19.9,-64,-64,18.5,0.7,11.7,20.7
0084/009,Interland - 155 Greenwich Street,101 GREENWICH ST,94111,"101 GREENWICH ST
San Francisco, CA 94111
(37.803155, -122.402769)",149315,Office,http://propertymap.sfplanning.org/?&search=0084/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,38.1,,-40.4,,434.18,,38.1,,,29,87.3,-57.3,,361.46,,28.8,87,56,64.8,182.7,-7,-7,729.2,5,64.8,182.7,77,69.7,203.3,-28.8,-28.8,797.9,5.5,69.9,203.9,76,69,195.8,-27.1,-27.1,797.7,5.3,68.9,194.3
0329/002,838 MARKET ST,838 MARKET ST,94102,"838 MARKET ST
San Francisco, CA 94102
(37.7851, -122.406685)",39993,Strip Mall,http://propertymap.sfplanning.org/?&search=0329/002,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,53.5,,,59.7,1.5,17.5,53.5
5203/040,220 NEWHALL ST,220 NEWHALL ST,94124,"220 NEWHALL ST
San Francisco, CA 94124
(37.742479, -122.384543)",42300,Other,http://propertymap.sfplanning.org/?&search=5203/040,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,59.5,,,71.3,1.7,24.5,61.6,,23.6,64.3,,,75.7,1.8,24.3,65.1
3705/042,865 MARKET ST,865 MARKET ST,94103,"865 MARKET ST
San Francisco, CA 94103
(37.784904, -122.406929)",605220,,http://propertymap.sfplanning.org/?&search=3705/042,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,104.5,299.8,38.1,38.1,4924.6,8.1,103.9,299.1,,,,,,,,,
1061/018,3600 GEARY BLVD,3600 GEARY BLVD,94118,"3600 GEARY BLVD
San Francisco, CA 94118
(37.781361, -122.458108)",19200,Other,http://propertymap.sfplanning.org/?&search=1061/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,59,,,34,1.8,28.8,63.1,,28.7,72.7,,,40.4,2.1,30.3,74.3
0329/002A,840 MARKET ST,840 MARKET ST,94102,"840 MARKET ST
San Francisco, CA 94102
(37.78504, -122.406759)",14300,Strip Mall,http://propertymap.sfplanning.org/?&search=0329/002A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,104.5,,,41.3,2.9,31,97.5,,30.8,96.6,,,38.2,2.7,30,94.1
0292/016,127 SUTTER ST,127 SUTTER ST,94104,"127 SUTTER ST
San Francisco, CA 94104
(37.789961, -122.40284)",26436,,http://propertymap.sfplanning.org/?&search=0292/016,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
